电影名字,电影原名,其他名字,详细内容链接,导演,主演,年份,地区,评语
拯救大兵瑞恩,Saving Private Ryan, 雷霆救兵(港)   抢救雷恩大兵(台),https://movie.douban.com/subject/1292849/
小鞋子,بچههای آسمان, 天堂的孩子   小童鞋,https://movie.douban.com/subject/1303021/
穿条纹睡衣的男孩,The Boy in the Striped Pajamas, 穿条纹衣服的男孩   穿条纹衣的男孩,https://movie.douban.com/subject/3008247/
情书,Love Letter, When I Close My Eyes   Letters of Love,https://movie.douban.com/subject/1292220/
音乐之声,The Sound of Music, 仙乐飘飘处处闻(港)   真善美(台),https://movie.douban.com/subject/1294408/
海豚湾,The Cove, 血色海湾(台)   海湾,https://movie.douban.com/subject/3442220/
美国往事,Once Upon a Time in America, 四海兄弟(台)   义薄云天(港),https://movie.douban.com/subject/1292262/
致命魔术,The Prestige, 顶尖对决(台)   死亡魔法(港),https://movie.douban.com/subject/1780330/
沉默的羔羊,The Silence of the Lambs, 沉默的羔羊,https://movie.douban.com/subject/1293544/
低俗小说,Pulp Fiction, 危险人物(港)   黑色追缉令(台),https://movie.douban.com/subject/1291832/
禁闭岛,Shutter Island, 不赦岛(港)   隔离岛(台),https://movie.douban.com/subject/2334904/
蝴蝶效应,The Butterfly Effect, 蝴蝶效应,https://movie.douban.com/subject/1292343/
七宗罪,Se7en, 火线追缉令(台)   7宗罪,https://movie.douban.com/subject/1292223/
心灵捕手,Good Will Hunting, 骄阳似我(港)   心灵捕手,https://movie.douban.com/subject/1292656/
布达佩斯大饭店,The Grand Budapest Hotel, 布达佩斯大酒店(港)   欢迎来到布达佩斯大饭店(台),https://movie.douban.com/subject/11525673/
春光乍泄,春光乍洩, 一起快乐   Happy Together,https://movie.douban.com/subject/1292679/
被嫌弃的松子的一生,嫌われ松子の一生, 花样奇缘(港)   令人讨厌的松子的一生(台),https://movie.douban.com/subject/1787291/
摩登时代,Modern Times, The Masses   Les Temps modernes,https://movie.douban.com/subject/1294371/
阿凡达,Avatar, 天神下凡(港)   化身,https://movie.douban.com/subject/1652587/
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2, 哈利波特7：死神的圣物2(港 台) ,https://movie.douban.com/subject/3011235/
喜剧之王,喜劇之王, King of Comedy,https://movie.douban.com/subject/1302425/
